Inflation rate for food and non-alcoholic beverages continued to ease to 7.0% in January 2024,,,,,,,,
"Food and non-alcoholic beverages annual CPIH inflation rates, UK",,,,,,,,
,,,,,,,,
Unit ,Percentage change over 12 months,,,,,,,
,,,,,,,,
Date ,Food and non-alcoholic beverages,,,,,,,
Oct-12,3.4,,,,,,,
Nov-12,3.9,,,,,,,
Dec-12,3.8,,,,,,,
Jan-13,4.2,,,,,,,
Feb-13,3.7,,,,,,,
Mar-13,3.7,,,,,,,
Apr-13,4.6,,,,,,,
May-13,4.2,,,,,,,
Jun-13,3.8,,,,,,,
Jul-13,3.9,,,,,,,
Aug-13,4.2,,,,,,,
Sep-13,4.3,,,,,,,
Oct-13,3.9,,,,,,,
Nov-13,2.8,,,,,,,
Dec-13,1.9,,,,,,,
Jan-14,2,,,,,,,
Feb-14,1.8,,,,,,,
Mar-14,1.7,,,,,,,
Apr-14,0.6,,,,,,,
May-14,-0.6,,,,,,,
Jun-14,0,,,,,,,
Jul-14,-0.4,,,,,,,
Aug-14,-1.1,,,,,,,
Sep-14,-1.4,,,,,,,
Oct-14,-1.4,,,,,,,
Nov-14,-1.7,,,,,,,
Dec-14,-1.7,,,,,,,
Jan-15,-2.5,,,,,,,
Feb-15,-3.3,,,,,,,
Mar-15,-3,,,,,,,
Apr-15,-2.9,,,,,,,
May-15,-1.8,,,,,,,
Jun-15,-2.2,,,,,,,
Jul-15,-2.7,,,,,,,
Aug-15,-2.4,,,,,,,
Sep-15,-2.2,,,,,,,
Oct-15,-2.7,,,,,,,
Nov-15,-2.4,,,,,,,
Dec-15,-2.9,,,,,,,
Jan-16,-2.6,,,,,,,
Feb-16,-2.2,,,,,,,
Mar-16,-2.8,,,,,,,
Apr-16,-2.5,,,,,,,
May-16,-2.8,,,,,,,
Jun-16,-3,,,,,,,
Jul-16,-2.6,,,,,,,
Aug-16,-2.2,,,,,,,
Sep-16,-2.3,,,,,,,
Oct-16,-2.4,,,,,,,
Nov-16,-2.1,,,,,,,
Dec-16,-1.1,,,,,,,
Jan-17,-0.5,,,,,,,
Feb-17,0.2,,,,,,,
Mar-17,1.3,,,,,,,
Apr-17,1.6,,,,,,,
May-17,2.1,,,,,,,
Jun-17,2.4,,,,,,,
Jul-17,2.6,,,,,,,
Aug-17,2.2,,,,,,,
Sep-17,3.1,,,,,,,
Oct-17,4.1,,,,,,,
Nov-17,4.2,,,,,,,
Dec-17,4.1,,,,,,,
Jan-18,3.7,,,,,,,
Feb-18,3,,,,,,,
Mar-18,3.1,,,,,,,
Apr-18,2.7,,,,,,,
May-18,2.3,,,,,,,
Jun-18,2,,,,,,,
Jul-18,2.3,,,,,,,
Aug-18,2.4,,,,,,,
Sep-18,1.5,,,,,,,
Oct-18,0.9,,,,,,,
Nov-18,0.5,,,,,,,
Dec-18,0.7,,,,,,,
Jan-19,0.9,,,,,,,
Feb-19,1.2,,,,,,,
Mar-19,0.8,,,,,,,
Apr-19,0.7,,,,,,,
May-19,1.1,,,,,,,
Jun-19,1.7,,,,,,,
Jul-19,1.5,,,,,,,
Aug-19,1.8,,,,,,,
Sep-19,1.7,,,,,,,
Oct-19,1.4,,,,,,,
Nov-19,2.1,,,,,,,
Dec-19,1.7,,,,,,,
Jan-20,1.4,,,,,,,
Feb-20,1.3,,,,,,,
Mar-20,1.3,,,,,,,
Apr-20,1.4,,,,,,,
May-20,1.9,,,,,,,
Jun-20,1.2,,,,,,,
Jul-20,0.8,,,,,,,
Aug-20,0.4,,,,,,,
Sep-20,0,,,,,,,
Oct-20,0.6,,,,,,,
Nov-20,-0.5,,,,,,,
Dec-20,-1.4,,,,,,,
Jan-21,-0.7,,,,,,,
Feb-21,-0.6,,,,,,,
Mar-21,-1.4,,,,,,,
Apr-21,-0.5,,,,,,,
May-21,-1.3,,,,,,,
Jun-21,-0.6,,,,,,,
Jul-21,-0.6,,,,,,,
Aug-21,0.3,,,,,,,
Sep-21,0.8,,,,,,,
Oct-21,1.3,,,,,,,
Nov-21,2.5,,,,,,,
Dec-21,4.2,,,,,,,
Jan-22,4.4,,,,,,,
Feb-22,5.1,,,,,,,
Mar-22,5.9,,,,,,,
Apr-22,6.7,,,,,,,
May-22,8.7,,,,,,,
Jun-22,9.8,,,,,,,
Jul-22,12.7,,,,,,,
Aug-22,13.1,,,,,,,
Sep-22,14.6,,,,,,,
Oct-22,16.4,,,,,,,
Nov-22,16.5,,,,,,,
Dec-22,16.9,,,,,,,
Jan-23,16.8,,,,,,,
Feb-23,18.2,,,,,,,
Mar-23,19.2,,,,,,,
Apr-23,19.1,,,,,,,
May-23,18.4,,,,,,,
Jun-23,17.4,,,,,,,
Jul-23,14.9,,,,,,,
Aug-23,13.6,,,,,,,
Sep-23,12.2,,,,,,,
Oct-23,10.1,,,,,,,
Nov-23,9.2,,,,,,,
Dec-23,8,,,,,,,
Jan-24,7,,,,,,,
